Casos,Symbols
8,1
39,3
42,3
17,2
13,2
32,3
33,3
90,4
34,3
47,4
72,4
48,4
59,4
48,4
64,4
80,4
67,4
7,1
6,1
9,1
1,1
10,1
13,2
19,2
38,3
22,2
23,2
22,2
22,2
5,1
1,1
1,1
1,1
4,1
8,1
19,2
35,3
217,5
581,5
261,5
89,4
42,3
5,1
12,2
22,2
9,1
19,2
46,3
57,4
37,3
42,3
34,3
22,2
12,2
15,2
16,2
9,1
16,2
30,3
15,2
25,3
36,3
99,4
161,5
171,5
32,3
19,2
32,3
14,2
18,2
48,4
80,4
215,5
491,5
621,5
482,5
165,5
33,3
47,4
57,4
33,3
57,4
41,3
117,5
159,5
76,4
62,4
35,3
26,3
10,1
14,2
15,2
16,2
26,3
31,3
54,4
44,3
37,3
27,3
18,2
15,2
5,1
11,2
7,1
12,2
21,2
7,1
15,2
15,2
20,2
136,5
339,5
428,5
235,5
46,3
29,3
29,3
15,2
27,3
38,3
47,4
43,3
29,3
15,2
9,1
8,1
5,1
3,1
5,1
6,1
10,1
2,1
7,1
7,1
9,1
55,4
40,3
10,1
7,1
4,1
7,1
6,1
9,1
5,1
19,2
104,4
1849,5
3477,5
1444,5
261,5
227,5
59,4
43,3
47,4
64,4
28,3
111,4
168,5
1179,5
4130,5
2341,5
596,5
338,5
220,5
113,5
88,4
81,4
142,5
88,4
112,4
688,5
2993,5
2541,5
523,5
227,5
153,5
98,4
73,4
66,4
76,4
