"Data","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m2)","Chuva (mm)","p_rt1","p_inc100k","Nivel","Rt","Receptivo (Bool)","Nivel Inc.","Casos"
"2010-01-31",24.81,25.34,24.29,75.04,77.57,72.29,19.81,20.28,19.37,1005.61,1005.89,1005.35,1.56,154.42,4.94,1345.18,181,0,0.11,1.6,0,1,0,8
"2010-02-28",26.28,26.83,25.75,71.76,74.49,69.02,20.35,20.88,19.86,1005.69,1005.96,1005.44,1.52,171.71,4.83,1588.08,115.2,0.82,0.66,2.5,2.86,1,0.75,39
"2010-03-31",23.42,23.92,22.96,76.94,79.31,74.4,18.83,19.26,18.44,1007.11,1007.36,1006.87,1.48,155.4,4.66,1227.6,106.8,0.36,0.71,1.5,0.86,0.75,1,42
"2010-04-30",20.13,20.65,19.63,75.6,78.1,72.99,15.27,15.72,14.85,1011.41,1011.68,1011.15,1.19,160.03,3.95,1054.14,74.4,0.17,0.29,1,0.56,0.25,0.25,17
"2010-05-31",17.18,17.55,16.84,83.18,84.94,81.39,14.13,14.45,13.85,1012.03,1012.28,1011.78,1.48,178.01,4.73,741.93,124.8,0.49,0.17,1,1.29,0,0,13
"2010-06-30",14.95,15.38,14.55,80.07,82.03,77.98,11.32,11.65,10.99,1014.23,1014.51,1013.95,1.18,158.44,3.94,699.61,206,0.77,0.54,1,1.64,0,0.75,32
"2010-07-31",14.48,14.94,14.03,78.02,80.15,75.72,10.34,10.73,9.96,1014.01,1014.32,1013.71,1.34,166.59,4.33,751.33,194.4,0.37,0.55,1,0.89,0,0.5,33
"2010-08-31",14.43,14.88,14,76.77,79.01,74.38,10,10.4,9.61,1014.86,1015.19,1014.56,1.33,154.46,4.35,834.94,75,0.69,1.21,1,1.54,0,1.2,90
"2010-09-30",17.21,17.64,16.82,78.39,80.5,76.21,13.1,13.48,12.76,1010.49,1010.85,1010.11,1.8,151.26,5.6,962.92,183,0.26,0.57,1,0.73,0,0.75,34
"2010-10-31",18.03,18.56,17.52,72.89,75.59,70.13,12.67,13.17,12.22,1009.79,1010.08,1009.51,1.53,148.74,4.84,1339.03,58,0.57,0.63,1,1.22,0,0.8,47
"2010-11-30",20.71,21.3,20.15,68.97,71.84,65.95,14.13,14.67,13.62,1006.14,1006.4,1005.88,1.69,154.31,5.34,1568.8,71.4,0.76,1.21,1,1.31,0.5,1.25,72
"2010-12-31",23.3,23.9,22.74,71.05,73.93,67.99,17.3,17.83,16.79,1004.19,1004.48,1003.91,1.91,141.6,5.88,1614.21,91.4,0.21,0.81,1.25,0.69,0.75,1,48
"2011-01-31",25.6,26.17,25.05,76.65,79.35,73.81,20.9,21.35,20.48,1003.81,1004.08,1003.57,1.63,147.44,5.2,1445.64,131.6,0.52,0.79,2,1.04,1,1,59
"2011-02-28",24.59,25.11,24.12,78.06,80.4,75.55,20.28,20.69,19.93,1006.28,1006.52,1006.05,1.57,146.24,4.97,1340.07,120.8,0.54,0.81,2,1.05,1,1,48
"2011-03-31",22.74,23.24,22.26,74.18,76.61,71.62,17.56,17.95,17.18,1008.9,1009.14,1008.67,1.73,126.47,5.51,1356.53,79.8,0.63,1.08,1.25,1.26,0.75,1.25,64
"2011-04-30",20.25,20.76,19.75,78.79,81.42,76.1,16.12,16.58,15.72,1009.47,1009.74,1009.2,1,152.02,3.51,1104.39,174.4,0.56,1.34,1,1.11,0,1.25,80
